29596:
ClassLoader         Parent              CLD*               Classes   ChunkSz   BlockSz  Type
0x000002721f04d428  0x000002721f06a1c0  0x000002726669f0b0       4     20480     14920  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666d5450       4     16384     15304  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666c8820       4     24576     15312  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x000002726669ae00       4     20480     15016  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666d4690       4     20480     15408  java.net.URLClassLoader
0x000002721f06a1c0  0x000002721f06aa48  0x000002721e8efcd0    8229  40984576  40965408  jdk.internal.loader.ClassLoaders$AppClassLoader
                                                                 1      2048      1280   + hidden classes
0x000002721f04d428  0x000002721f06a1c0  0x00000272666be740       4     15360     14328  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666cad40       4     20480     15392  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666bdf00       4     20480     15392  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666d6dc0       4     17408     16176  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666ca9d0       4     20480     15392  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666ab970       4     20480     14920  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666cc6b0       4     20480     15392  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x000002726669e500       4     20480     14920  java.net.URLClassLoader
0x000002721f098c50  0x0000000000000000  0x000002726669df80       1      4096      3424  jdk.internal.reflect.DelegatingClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x000002726669d320       4     20480     15296  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x000002726669cb90       4     20480     15016  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666d1510       4     20480     15392  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666c6eb0       4     20480     15296  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666d7ad0       4     20480     15016  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666d7b80       4     20480     15016  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x000002726669e5b0       4     17408     14192  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666cc340       4     20480     15392  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666c9740       4     17408     14336  java.net.URLClassLoader
0x000002721f098c50  0x0000000000000000  0x000002726669eb30       1      4096      3424  jdk.internal.reflect.DelegatingClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666d69a0       4     20480     15016  java.net.URLClassLoader
0x000002721f06aa48  0x0000000000000000  0x000002721e8ef120     241   1472512   1455864  jdk.internal.loader.ClassLoaders$PlatformClassLoader
0x000002721f098c50  0x0000000000000000  0x00000272666a9870       1      4096      3160  jdk.internal.reflect.DelegatingClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666d7d90       4     20480     15016  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666cebd0       4     20480     15392  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x000002726669ff20       4     20480     14920  java.net.URLClassLoader
0x000002721f098c50  0x0000000000000000  0x000002726669ea80       1      4096      3424  jdk.internal.reflect.DelegatingClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666d5240       4     18432     16136  java.net.URLClassLoader
0x000002721f098c50  0x0000000000000000  0x000002726669f370       1      4096      3424  jdk.internal.reflect.DelegatingClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666d7ce0       4     20480     15016  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666bbd50       4     18432     16136  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x000002726669a3b0       4     20480     15016  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666cca20       4     20480     15392  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666c9d70       4     20480     15392  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666a0080       4     20480     14920  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666d2d20       4     18432     15112  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666ced30       4     20480     15392  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666cc3f0       4     20480     15392  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666aadc0       4     20480     15296  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x000002726669b170       4     20480     15016  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666d5660       4     17408     15112  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666d2010       4     20480     15392  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666cf620       4     20480     15392  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x000002726669e2f0       4     17408     14192  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x000002726669eea0       4     20480     14920  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x000002726669a300       4     20480     15016  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666d5a80       4     20480     15016  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666aa580       4     18432     14192  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x000002726669d110       4     20480     15016  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666d5030       4     16384     15304  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666d08b0       4     20480     15392  java.net.URLClassLoader
0x000002721f04d428  0x000002721f06a1c0  0x00000272666ceff0       4     20480     15392  java.net.URLClassLoader
